"filename", "language", "Java Properties", "Gradle", "Log", "Batch", "XML", "Java", "CSS", "java", "comment", "blank", "total"
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/AbstractCommand.java", "Java", 0, 0, 0, 0, 0, 17, 0, 0, 0, 6, 23
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/Add.java", "Java", 0, 0, 0, 0, 0, 18, 0, 0, 8, 2, 28
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/Clear.java", "Java", 0, 0, 0, 0, 0, 18, 0, 0, 3, 2, 23
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/Command.java", "Java", 0, 0, 0, 0, 0, 7, 0, 0, 8, 3, 18
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/CountLessThanHeight.java", "Java", 0, 0, 0, 0, 0, 21, 0, 0, 3, 4, 28
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/ExecuteScript.java", "Java", 0, 0, 0, 0, 0, 68, 0, 0, 3, 4, 75
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/Exit.java", "Java", 0, 0, 0, 0, 0, 24, 0, 0, 3, 1, 28
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/FilterContainsName.java", "Java", 0, 0, 0, 0, 0, 18, 0, 0, 3, 2, 23
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/GroupCountingById.java", "Java", 0, 0, 0, 0, 0, 18, 0, 0, 3, 3, 24
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/Help.java", "Java", 0, 0, 0, 0, 0, 29, 0, 0, 3, 4, 36
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/Info.java", "Java", 0, 0, 0, 0, 0, 18, 0, 0, 3, 3, 24
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/RemoveById.java", "Java", 0, 0, 0, 0, 0, 21, 0, 0, 3, 4, 28
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/RemoveGreater.java", "Java", 0, 0, 0, 0, 0, 21, 0, 0, 3, 4, 28
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/Reorder.java", "Java", 0, 0, 0, 0, 0, 18, 0, 0, 3, 3, 24
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/Show.java", "Java", 0, 0, 0, 0, 0, 18, 0, 0, 3, 1, 22
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/Shuffle.java", "Java", 0, 0, 0, 0, 0, 18, 0, 0, 3, 2, 23
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/commands/Update.java", "Java", 0, 0, 0, 0, 0, 21, 0, 0, 3, 3, 27
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/data/Color.java", "Java", 0, 0, 0, 0, 0, 9, 0, 0, 4, 3, 16
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/data/Coordinates.java", "Java", 0, 0, 0, 0, 0, 24, 0, 0, 4, 5, 33
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/data/DisplayCoordinates.java", "Java", 0, 0, 0, 0, 0, 35, 0, 0, 0, 12, 47
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/data/DisplayLocation.java", "Java", 0, 0, 0, 0, 0, 23, 0, 0, 0, 9, 32
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/data/DisplayPerson.java", "Java", 0, 0, 0, 0, 0, 126, 0, 0, 1, 17, 144
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/data/Location.java", "Java", 0, 0, 0, 0, 0, 40, 0, 0, 4, 11, 55
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/data/Person.java", "Java", 0, 0, 0, 0, 0, 99, 0, 0, 4, 5, 108
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/data/User.java", "Java", 0, 0, 0, 0, 0, 22, 0, 0, 0, 6, 28
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/exceptions/ElementAmountException.java", "Java", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 6
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/exceptions/RecursionException.java", "Java", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 6
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/exceptions/ValueException.java", "Java", 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/gui/controllers/AuthController.java", "Java", 0, 0, 0, 0, 0, 80, 0, 0, 0, 12, 92
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/gui/controllers/TableController.java", "Java", 0, 0, 0, 0, 0, 325, 0, 0, 3, 53, 381
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/gui/controllers/VisualizationController.java", "Java", 0, 0, 0, 0, 0, 116, 0, 0, 0, 31, 147
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/network/TCPClient.java", "Java", 0, 0, 0, 0, 0, 93, 0, 0, 0, 22, 115
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/requests/Request.java", "Java", 0, 0, 0, 0, 0, 28, 0, 0, 0, 8, 36
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/utils/CollectionHandler.java", "Java", 0, 0, 0, 0, 0, 94, 0, 0, 27, 14, 135
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/utils/CommandHelper.java", "Java", 0, 0, 0, 0, 0, 42, 0, 0, 3, 6, 51
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/utils/Deserializator.java", "Java", 0, 0, 0, 0, 0, 23, 0, 0, 0, 6, 29
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/utils/FileManager.java", "Java", 0, 0, 0, 0, 0, 33, 0, 0, 3, 7, 43
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/utils/IOHandler.java", "Java", 0, 0, 0, 0, 0, 12, 0, 0, 3, 2, 17
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/utils/PersonCreator.java", "Java", 0, 0, 0, 0, 0, 146, 0, 0, 34, 9, 189
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/utils/PersonValidator.java", "Java", 0, 0, 0, 0, 0, 36, 0, 0, 4, 6, 46
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/java/ifmo/utils/UserHelper.java", "Java", 0, 0, 0, 0, 0, 40, 0, 0, 25, 9, 74
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/resources/Auth.fxml", "XML", 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/resources/Map.fxml", "XML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/resources/Table.fxml", "XML", 0, 0, 0, 0, 66, 0, 0, 0, 0, 3, 69
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/resources/auth_en_UK.properties", "Java Properties", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/resources/auth_ru_RU.properties", "Java Properties", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/resources/styles/auth.css", "CSS", 0, 0, 0, 0, 0, 0, 31, 0, 0, 5, 36
"/home/anton/itmo/sem2/prog-labs-2sem/lab8/app/src/main/resources/styles/table.css", "CSS", 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
